fecha,linea,afluencia_total,afluencia_promedio
2016-08-13,Línea 4,84138,9348.666666666666
2013-05-18,Línea 3,538233,26911.65
2013-05-17,Línea 1,869787,43489.35
2013-05-03,Línea 5,125709,12570.9
2016-05-18,Línea 7,365649,26117.785714285714
2017-12-19,Línea B,391541,19577.05
2016-10-15,Línea 7,249062,19158.615384615383
2019-08-31,Línea 2,759460,33020.0
2019-08-15,Línea 12,443796,22189.8
2019-08-11,Línea 9,346375,28864.583333333332
2013-10-29,Línea 3,655837,32791.85
2013-01-05,Línea 4,69766,7751.777777777777
2013-01-24,Línea 12,232908,12258.315789473685
2016-12-07,Línea 5,275781,21213.923076923078
2016-12-23,Línea 9,340063,28338.583333333332
2016-12-01,Línea 7,388285,27734.64285714286
2018-08-28,Línea B,447758,21321.809523809523
2018-08-09,Línea 7,341060,24361.428571428572
2017-03-06,Línea 5,270793,22566.083333333332
2017-03-22,Línea 5,263356,21946.333333333332
2019-05-12,Línea 6,163096,14826.90909090909
2018-10-03,Línea 6,167015,15183.181818181818
2018-10-20,Línea B,431175,20532.14285714286
2018-10-13,Línea 4,87696,8769.6
2018-10-13,Línea 6,116443,10585.727272727272
2018-10-17,Línea 1,732537,36626.85
2013-08-09,Línea 1,869746,43487.3
2013-08-15,Línea 9,412851,34404.25
2013-08-09,Línea 6,163841,16384.1
2013-08-16,Línea 7,320300,22878.571428571428
2013-08-06,Línea 3,784732,37368.19047619047
2016-08-26,Línea 3,775538,36930.380952380954
2016-08-29,Línea 11,27352,27352.0
2016-08-08,Línea 6,145462,13223.818181818182
2013-05-21,Línea 5,258334,19871.846153846152
2013-05-25,Línea 8,315754,17541.88888888889
2013-05-27,Línea 4,65889,8236.125
2016-05-02,Línea 3,655671,32783.55
2016-05-12,Línea 8,383487,21304.833333333332
2016-05-05,Línea 2,796607,34635.086956521736
2016-05-29,Línea 12,144985,7249.25
2016-05-13,Línea 8,427390,22494.21052631579
2017-08-16,Línea 7,360464,27728.0
2016-10-07,Línea A,294280,32697.777777777777
2019-08-04,Línea 12,409911,21574.263157894737
2019-08-28,Línea 2,700786,31853.909090909092
2019-08-14,Línea 1,709830,35491.5
2019-08-12,Línea 8,257024,13527.578947368422
2013-10-26,Línea 2,840575,35023.958333333336
2013-10-17,Línea 12,344011,17200.55
2013-10-15,Línea 9,402089,33507.416666666664
2013-01-12,Línea B,425315,20253.095238095237
2016-12-24,Línea B,363684,17318.285714285714
2016-12-21,Línea 1,818902,40945.1
2018-08-20,Línea 12,403840,20192.0
