año,mes,linea,afluencia_total,afluencia_promedio_diaria
2019,3,Línea 8,11040802,19101.73356401384
2017,1,Línea A,8284895,27342.887788778877
2018,5,Línea A,8531363,27880.271241830065
2018,3,Línea A,8451369,27439.50974025974
2013,3,Línea 4,2272560,7354.563106796117
2013,3,Línea 9,9787443,26962.652892561982
2019,12,Línea 6,3812148,11447.891891891892
2019,12,Línea 9,7839725,21716.68975069252
2016,7,Línea 11,26644,26644.0
2016,1,Línea 8,10747338,18723.585365853658
2017,7,Línea 5,6588988,16555.24623115578
2013,12,Línea 12,7521596,12350.732348111658
2019,7,Línea 4,2485558,7941.079872204473
2019,7,Línea 1,19628611,32283.89967105263
2018,3,Línea 4,2420448,7962.0
2017,7,Línea 3,17535728,27314.218068535825
2018,1,Línea 12,9725788,16129.001658374793
2018,3,Línea 5,7194710,18077.1608040201
2016,1,Línea 7,8029004,18891.77411764706
2019,7,Línea 11,81903,40951.5
2013,12,Línea B,13663848,21450.31083202512
2016,7,Línea 2,22171167,30164.85306122449
2013,12,Línea 3,18092647,28225.658346333854
2012,12,Línea B,14201252,22189.45625
2017,7,Línea 7,8468139,19739.251748251747
2015,12,Línea 9,9416887,25941.83746556474
2012,12,Línea 6,4114691,12282.659701492537
2017,5,Línea B,12881663,20127.5984375
2019,7,Línea 9,7882251,21895.141666666666
2018,3,Línea 7,8351734,19422.637209302327
2012,12,Línea 4,2465344,8136.448844884489
2015,12,Línea A,7852324,25745.324590163935
2013,3,Línea 12,6395062,10535.522240527183
2016,7,Línea 5,6488693,16510.669211195927
2015,12,Línea 8,11490368,19913.98266897747
2018,3,Línea 2,22824157,31011.082880434784
2014,1,Línea 4,2451183,8036.665573770491
2018,5,Línea 12,10570227,17385.24177631579
2019,3,Línea B,12504648,19569.089201877934
2017,1,Línea 6,3893507,11727.430722891566
2018,1,Línea 11,70275,17568.75
2019,12,Línea 7,8084755,19022.95294117647
2014,1,Línea 7,7845674,18460.409411764707
2016,1,Línea 2,22486156,30635.08991825613
2016,7,Línea 6,3462622,10336.185074626866
2012,12,Línea 9,9288468,25447.857534246574
2014,1,Línea B,13019773,20311.658346333854
2016,7,Línea 3,17696061,27606.959438377537
2017,1,Línea B,12282678,19131.89719626168
2014,1,Línea 8,10280862,17848.71875
2019,3,Línea 9,8114520,22415.801104972375
2015,12,Línea 3,17684905,27719.2868338558
2014,1,Línea 2,23230186,32219.398058252427
2019,12,Línea 2,21723238,29921.815426997244
2015,12,Línea 5,6952738,17557.41919191919
2016,4,Línea 7,8930198,21518.549397590363
2019,11,Línea 11,47161,15720.333333333334
2016,3,Línea 6,3636401,10887.428143712576
2013,4,Línea A,7717660,26161.5593220339
2025,10,Línea B,11198432,17579.956043956045
2013,11,Línea 11,33262,33262.0
2020,3,Línea 6,3324214,9893.494047619048
2025,10,Línea 7,8150570,18998.99766899767
2025,12,Línea 11,41203,20601.5
2017,11,Línea 8,11536352,20674.465949820788
2018,12,Línea 4,2601035,8584.27392739274
2016,3,Línea 7,7663834,17740.35648148148
2017,11,Línea 4,2677263,9014.353535353535
2026,1,Línea A,6260200,20867.333333333332
2019,11,Línea B,13107919,21107.76006441224
2013,11,Línea 2,25615455,36128.99153737658
2016,11,Línea 4,2529696,8723.089655172414
2013,4,Línea 7,8050136,19491.854721549636
2016,4,Línea 12,8616306,14628.702886247878
2018,12,Línea 1,19992087,32935.89291598023
2013,4,Línea 12,7061462,12029.747870528108
2019,1,Línea 1,19543824,32144.447368421053
2016,11,Línea 2,23063273,32760.330965909092
2026,1,Línea 6,2895699,8643.8776119403
2017,10,Línea 7,9413071,22096.410798122066
2017,11,Línea 6,4440562,13663.267692307692
2019,1,Línea 12,10845196,17955.62251655629
2026,1,Línea 8,9212774,15966.67937608319
2016,3,Línea 1,18818141,31155.862582781458
2019,11,Línea 1,20285370,34265.8277027027
2018,7,Línea 12,9977465,16546.376451077944
2019,1,Línea 3,18094810,28361.771159874606
2016,3,Línea A,7313476,24216.807947019868
2016,4,Línea 5,7164994,18562.160621761657
2025,12,Línea 2,17427515,23710.904761904763
2017,11,Línea 11,59953,19984.333333333332
2020,3,Línea 12,9432619,15438.00163666121
2017,11,Línea B,12812773,20699.14862681745
2019,11,Línea 7,9229424,22565.828850855745
2019,1,Línea 5,6579719,16531.95728643216
