año,mes,tipo_ingreso,ingreso_total
2020,5,Recargas,1.08332232E8
2014,11,Tarjeta,21500.0
2019,7,Recarga,252754.0
2014,4,Rec.,955567.5
2020,9,Rec.,377106.0
2017,1,Bol.,1788875.0
2014,11,Recargas,2.4771066745000017E8
2018,8,Tarjetas,1175160.0
2019,10,Tarjetas,8353170.0
2020,5,Boleto,160825.0
2014,11,Tarj.,12270.0
2020,9,Tarjetas,3326340.0
2019,10,Recarga,746972.0
2019,7,Rec.,1893309.0
2019,7,Recargas,2.57821147E8
2017,1,Tarjeta,1880.0
2018,8,Boleto,601225.0
2018,8,Bol.,1520825.0
2014,11,Recarga,256512.0
2021,3,Recargas,2.19245143E8
2021,3,Boletos,8.3070615E7
2014,4,Boletos,2.80669055E8
2019,7,Bol.,1544845.0
2020,5,Boletos,4.2390265E7
2018,3,Tarjetas,2595440.0
2014,11,Boletos,2.98403025E8
2021,3,Rec.,531266.0
2020,9,Tarjeta,5640.0
2018,8,Recargas,3.1901556E8
